REEF_SITE,YEAR,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,SUBSTRATE_COVER,PERCENT_COVER
ATL,2024,JUN,07/06/2024,FLAT,1,LCC,47
ATL,2024,JUN,07/06/2024,FLAT,2,LCC,45
ATL,2024,JUN,07/06/2024,FLAT,3,LCC,48
ATL,2024,JUN,19/06/2024,FLAT,1,LCC,44
ATL,2024,JUN,19/06/2024,FLAT,2,LCC,52
ATL,2024,JUN,19/06/2024,FLAT,3,LCC,49
ATL,2024,JUN,23/06/2024,CREST,1,LCC,28
ATL,2024,JUN,23/06/2024,CREST,2,LCC,35
ATL,2024,JUN,23/06/2024,CREST,3,LCC,37
ATL,2024,MAR,09/03/2024,CREST,1,LCC,60
ATL,2024,MAR,09/03/2024,CREST,2,LCC,55
ATL,2024,MAR,09/03/2024,CREST,3,LCC,59
ATL,2024,MAR,21/03/2024,FLAT,1,LCC,66
ATL,2024,MAR,21/03/2024,FLAT,2,LCC,70
ATL,2024,MAR,21/03/2024,FLAT,3,LCC,37
ATL,2024,MAY,15/05/2024,CREST,1,LCC,41
ATL,2024,MAY,15/05/2024,CREST,2,LCC,42
ATL,2024,MAY,15/05/2024,CREST,3,LCC,42
ATL,2024,OCT,16/10/2024,CREST,1,LCC,49
ATL,2024,OCT,16/10/2024,CREST,2,LCC,37
ATL,2024,OCT,16/10/2024,CREST,3,LCC,42
ATL,2024,OCT,25/10/2024,CREST,1,LCC,58
ATL,2024,OCT,25/10/2024,CREST,2,LCC,38
ATL,2024,OCT,25/10/2024,CREST,3,LCC,36
ATL,2024,SEP,07/09/2024,FLAT,1,LCC,31
ATL,2024,SEP,07/09/2024,FLAT,2,LCC,37
ATL,2024,SEP,08/09/2024,CREST,1,LCC,36
ATL,2024,SEP,08/09/2024,CREST,2,LCC,24
ATL,2024,SEP,08/09/2024,CREST,3,LCC,46
ATL,2024,SEP,13/09/2024,FLAT,1,LCC,53
ATL,2024,SEP,13/09/2024,FLAT,2,LCC,42
ATL,2024,SEP,13/09/2024,FLAT,3,LCC,42
ATL,2024,SEP,15/09/2024,FLAT,1,LCC,49
ATL,2024,SEP,15/09/2024,FLAT,2,LCC,39
ATL,2024,SEP,15/09/2024,FLAT,3,LCC,43
ATL,2024,SEP,21/09/2024,FLAT,1,LCC,50
ATL,2024,SEP,21/09/2024,FLAT,2,LCC,42
ATL,2024,SEP,21/09/2024,FLAT,3,LCC,56
HS,2024,APR,05/04/2024,FLAT,1,LCC,53
HS,2024,APR,05/04/2024,FLAT,2,LCC,48
HS,2024,APR,05/04/2024,FLAT,3,LCC,66
HS,2024,AUG,02/08/2024,CREST,1,LCC,66
HS,2024,AUG,02/08/2024,CREST,2,LCC,61
HS,2024,AUG,02/08/2024,CREST,3,LCC,49
HS,2024,AUG,10/08/2024,CREST,1,LCC,54
HS,2024,AUG,10/08/2024,CREST,2,LCC,57
HS,2024,AUG,10/08/2024,CREST,3,LCC,34
HS,2024,FEB,07/02/2024,CREST,1,LCC,76
HS,2024,FEB,07/02/2024,CREST,2,LCC,59
HS,2024,FEB,07/02/2024,CREST,3,LCC,71
HS,2024,FEB,29/02/2024,CREST,1,LCC,64
HS,2024,FEB,29/02/2024,CREST,2,LCC,61
HS,2024,FEB,29/02/2024,CREST,3,LCC,53
HS,2024,JUL,06/07/2024,CREST,1,LCC,50
HS,2024,JUL,06/07/2024,CREST,2,LCC,48
HS,2024,JUL,06/07/2024,CREST,3,LCC,51
HS,2024,JUL,11/07/2024,CREST,1,LCC,44
HS,2024,JUL,11/07/2024,CREST,2,LCC,56
HS,2024,JUL,20/07/2024,CREST,1,LCC,58
HS,2024,JUL,20/07/2024,CREST,2,LCC,51
HS,2024,JUL,20/07/2024,CREST,3,LCC,52
HS,2024,JUN,05/06/2024,CREST,1,LCC,39
HS,2024,JUN,05/06/2024,CREST,2,LCC,62
HS,2024,JUN,05/06/2024,CREST,3,LCC,48
HS,2024,JUN,08/06/2024,CREST,1,LCC,62
HS,2024,JUN,08/06/2024,CREST,2,LCC,53
HS,2024,JUN,08/06/2024,CREST,3,LCC,42
HS,2024,JUN,26/06/2024,FLAT,1,LCC,45
HS,2024,JUN,26/06/2024,FLAT,2,LCC,29
HS,2024,JUN,26/06/2024,FLAT,3,LCC,33
HS,2024,JUN,27/06/2024,CREST,1,LCC,53
HS,2024,JUN,27/06/2024,CREST,2,LCC,45
HS,2024,JUN,27/06/2024,CREST,3,LCC,51
HS,2024,JUN,30/06/2024,CREST,1,LCC,47
HS,2024,JUN,30/06/2024,CREST,2,LCC,52
HS,2024,JUN,30/06/2024,CREST,3,LCC,31
HS,2024,MAR,07/03/2024,FLAT,1,LCC,58
HS,2024,MAR,07/03/2024,FLAT,2,LCC,45
HS,2024,MAR,07/03/2024,FLAT,3,LCC,59
HS,2024,MAR,22/03/2024,CREST,1,LCC,55
HS,2024,MAR,22/03/2024,CREST,2,LCC,54
HS,2024,MAR,22/03/2024,CREST,3,LCC,65
HS,2024,MAR,29/03/2024,CREST,1,LCC,60
HS,2024,MAR,29/03/2024,CREST,2,LCC,54
HS,2024,MAR,29/03/2024,CREST,3,LCC,63
HS,2024,MAY,03/05/2024,CREST,1,LCC,65
HS,2024,MAY,03/05/2024,CREST,2,LCC,57
HS,2024,MAY,03/05/2024,CREST,3,LCC,61
HS,2024,MAY,09/05/2024,CREST,1,LCC,44
HS,2024,MAY,09/05/2024,CREST,2,LCC,56
HS,2024,MAY,09/05/2024,CREST,3,LCC,59
HS,2024,MAY,11/05/2024,FLAT,1,LCC,41
HS,2024,MAY,11/05/2024,FLAT,2,LCC,44
HS,2024,MAY,11/05/2024,FLAT,3,LCC,51
HS,2024,MAY,18/05/2024,CREST,1,LCC,50
HS,2024,MAY,18/05/2024,CREST,2,LCC,50
HS,2024,MAY,18/05/2024,CREST,3,LCC,64
HS,2024,OCT,12/10/2024,CREST,1,LCC,50
HS,2024,OCT,12/10/2024,CREST,2,LCC,57
HS,2024,OCT,12/10/2024,CREST,3,LCC,49
HS,2024,OCT,30/10/2024,CREST,1,LCC,60
HS,2024,OCT,30/10/2024,CREST,2,LCC,78
HS,2024,OCT,30/10/2024,CREST,3,LCC,81
HS,2024,SEP,14/09/2024,FLAT,1,LCC,39
HS,2024,SEP,14/09/2024,FLAT,2,LCC,23
HS,2024,SEP,14/09/2024,FLAT,3,LCC,41
HS,2024,SEP,26/09/2024,CREST,1,LCC,47
HS,2024,SEP,26/09/2024,CREST,2,LCC,44
HS,2024,SEP,26/09/2024,CREST,3,LCC,51
HS,2024,SEP,26/09/2024,FLAT,1,LCC,30
HS,2024,SEP,26/09/2024,FLAT,2,LCC,30
HS,2024,SEP,26/09/2024,FLAT,3,LCC,41
MH4,2024,APR,04/04/2024,FLAT,1,LCC,22
MH4,2024,APR,04/04/2024,FLAT,2,LCC,25
MH4,2024,APR,04/04/2024,FLAT,3,LCC,34
MH4,2024,APR,17/04/2024,CREST,1,LCC,64
MH4,2024,APR,17/04/2024,CREST,2,LCC,53
MH4,2024,APR,17/04/2024,CREST,3,LCC,51
MH4,2024,APR,20/04/2024,FLAT,1,LCC,26
MH4,2024,APR,20/04/2024,FLAT,2,LCC,23
MH4,2024,APR,20/04/2024,FLAT,3,LCC,26
MH4,2024,AUG,16/08/2024,CREST,1,LCC,49
MH4,2024,AUG,16/08/2024,CREST,2,LCC,50
MH4,2024,AUG,16/08/2024,CREST,3,LCC,63
MH4,2024,AUG,31/08/2024,CREST,1,LCC,66
MH4,2024,AUG,31/08/2024,CREST,2,LCC,55
MH4,2024,AUG,31/08/2024,CREST,3,LCC,64
MH4,2024,FEB,08/02/2024,CREST,1,LCC,60
MH4,2024,FEB,08/02/2024,CREST,2,LCC,66
MH4,2024,FEB,16/02/2024,CREST,1,LCC,62
MH4,2024,FEB,16/02/2024,CREST,2,LCC,63
MH4,2024,FEB,16/02/2024,CREST,3,LCC,69
MH4,2024,FEB,23/02/2024,CREST,1,LCC,59
MH4,2024,FEB,23/02/2024,CREST,2,LCC,62
MH4,2024,FEB,23/02/2024,CREST,3,LCC,64
MH4,2024,JUL,05/07/2024,CREST,1,LCC,63
MH4,2024,JUL,05/07/2024,CREST,2,LCC,56
MH4,2024,JUL,05/07/2024,CREST,3,LCC,38
MH4,2024,JUL,12/07/2024,CREST,1,LCC,44
MH4,2024,JUL,12/07/2024,CREST,2,LCC,58
MH4,2024,JUL,12/07/2024,CREST,3,LCC,62
MH4,2024,JUL,31/07/2024,CREST,1,LCC,50
MH4,2024,JUL,31/07/2024,CREST,2,LCC,66
MH4,2024,JUL,31/07/2024,CREST,3,LCC,65
MH4,2024,JUN,06/06/2024,FLAT,1,LCC,11
MH4,2024,JUN,06/06/2024,FLAT,2,LCC,21
MH4,2024,JUN,06/06/2024,FLAT,3,LCC,10
MH4,2024,JUN,28/06/2024,FLAT,1,LCC,22
MH4,2024,JUN,28/06/2024,FLAT,2,LCC,18
MH4,2024,JUN,28/06/2024,FLAT,3,LCC,15
MH4,2024,MAR,06/03/2024,FLAT,1,LCC,30
MH4,2024,MAR,06/03/2024,FLAT,2,LCC,28
MH4,2024,MAR,06/03/2024,FLAT,3,LCC,22
MH4,2024,MAR,16/03/2024,FLAT,1,LCC,71
MH4,2024,MAR,16/03/2024,FLAT,2,LCC,59
MH4,2024,MAR,16/03/2024,FLAT,3,LCC,41
MH4,2024,MAR,20/03/2024,CREST,1,LCC,61
MH4,2024,MAR,20/03/2024,CREST,2,LCC,67
MH4,2024,MAR,20/03/2024,CREST,3,LCC,57
MH4,2024,MAR,24/03/2024,CREST,1,LCC,69
MH4,2024,MAR,24/03/2024,CREST,2,LCC,56
MH4,2024,MAR,24/03/2024,CREST,3,LCC,71
MH4,2024,MAR,30/03/2024,CREST,1,LCC,78
MH4,2024,MAR,30/03/2024,CREST,2,LCC,65
MH4,2024,MAR,30/03/2024,CREST,3,LCC,56
MH4,2024,MAY,08/05/2024,CREST,1,LCC,51
MH4,2024,MAY,08/05/2024,CREST,2,LCC,52
MH4,2024,MAY,08/05/2024,CREST,3,LCC,49
MH4,2024,MAY,10/05/2024,CREST,1,LCC,65
MH4,2024,MAY,10/05/2024,CREST,2,LCC,64
MH4,2024,MAY,10/05/2024,CREST,3,LCC,58
MH4,2024,MAY,15/05/2024,FLAT,1,LCC,15
MH4,2024,MAY,15/05/2024,FLAT,2,LCC,39
MH4,2024,MAY,15/05/2024,FLAT,3,LCC,26
MH4,2024,OCT,13/10/2024,CREST,1,LCC,25
MH4,2024,OCT,13/10/2024,CREST,2,LCC,28
MH4,2024,OCT,13/10/2024,CREST,3,LCC,27
MH4,2024,OCT,31/10/2024,CREST,1,LCC,68
MH4,2024,OCT,31/10/2024,CREST,2,LCC,68
MH4,2024,OCT,31/10/2024,CREST,3,LCC,44
MH4,2024,SEP,11/09/2024,CREST,1,LCC,52
MH4,2024,SEP,11/09/2024,CREST,2,LCC,50
MH4,2024,SEP,19/09/2024,CREST,1,LCC,52
MH4,2024,SEP,19/09/2024,CREST,2,LCC,61
MH4,2024,SEP,19/09/2024,CREST,3,LCC,47
