REEF_SITE,YEAR,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,GENUS,BLEACH_STATUS,JUVENILES_NO,PRESENCE_ABSENCE,BLEACH_MONTH
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,1,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,FB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POR,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,POC,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,H,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
ATL,2024,JUN,09/06/2024,FLAT,2,A,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,A,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,A,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,A,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,A,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POR,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,2,Yes,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,FB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,A,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,A,FB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,A,FB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,H,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
MH4,2024,JUN,12/06/2024,FLAT,1,POC,PB,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,1,POC,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,1,POC,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,1,POC,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,2,A,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,20/06/2024,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,POC,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,POR,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,1,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,2,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,2,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,2,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,2,POC,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,2,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,2,POC,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,1,Yes,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,POC,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,1,Yes,bleach
ATL,2024,JUN,23/06/24,CREST,3,POC,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,POC,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,POC,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,POC,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,POC,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,A,PB,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,POC,H,0,No,bleach
ATL,2024,JUN,23/06/24,CREST,3,POC,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,1,Yes,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,1,Yes,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,1,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,FB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,POC,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,H,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
HS,2024,JUL,11/07/24,CREST,2,A,PB,0,No,bleach
